sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
34,3,7057,0.0036899,0.0519368,3631,1.13604e-06,0.463121,
34,4,6460,0.0038476,0.0633422,3322,1.76769e-06,0.490042,
34,5,6302,0.00384096,0.0649259,3243,1.95517e-06,0.495605,
34,6,6247,0.00396452,0.0639207,3215,2.04887e-06,0.497704,
35,0,20000,0.01,0.0141421,10201,0,0.531118,
35,1,8024,0.00334943,0.0514273,4133,3.00354e-06,0.422564,
35,2,2537,0.00628659,0.0851108,1335,8.1127e-06,1.17621,
35,3,1665,0.00775008,0.102558,881,1.8484e-05,1.76889,
35,4,1481,0.00694687,0.137733,786,3.05218e-05,1.96786,
35,5,1451,0.00960811,0.125015,770,3.37767e-05,1.98817,
35,6,1449,0.00942837,0.125268,769,3.57478e-05,1.98124,
1,0,20000,0.01,0.0141421,10201,0,2.66831,
1,1,127408,0.000688798,0.0317293,64232,1.17539e-07,0.112211,
1,2,152970,0.000591325,0.0136257,77031,1.73804e-08,0.0711903,
1,3,119627,0.00059424,0.0183421,60284,1.59716e-08,0.0700671,
1,4,99650,0.000629102,0.0187456,50261,1.57006e-08,0.0795809,
1,5,97705,0.000647761,0.0211887,49255,2.15102e-08,0.0793142,
1,6,96925,0.000641109,0.0209647,48865,2.12003e-08,0.0793848,
33,0,20000,0.01,0.0141421,10201,0,0.531118,
33,1,39605,0.00100393,0.040806,20049,3.33727e-07,0.15236,
33,2,27540,0.00215574,0.0259391,13972,1.14942e-07,0.138038,
33,3,17020,0.00223218,0.036213,8671,2.15257e-07,0.196825,
33,4,14765,0.00269125,0.038701,7524,3.25565e-07,0.220008,
33,5,14490,0.00271916,0.043451,7383,3.93926e-07,0.219051,
33,6,14376,0.00263955,0.0452586,7326,4.07132e-07,0.219852,
32,0,20000,0.01,0.0141421,10201,0,0.531118,
32,1,57914,0.000839766,0.0390873,29254,2.13585e-07,0.116371,
32,2,45470,0.0017141,0.0242637,22990,5.45295e-08,0.0878269,
32,3,27473,0.00157787,0.0282951,13944,8.78938e-08,0.122065,
32,4,23424,0.00192397,0.0332297,11892,1.34004e-07,0.139796,
32,5,22949,0.0019024,0.0345796,11649,1.62772e-07,0.140404,
32,6,22744,0.00185812,0.0340095,11547,1.67567e-07,0.140815,
39,0,20000,0.01,0.0141421,10201,0,2.569,
39,1,42602,0.000798521,0.0417159,21601,1.53433e-06,0.301777,
39,2,17231,0.00158266,0.0412229,8813,3.29472e-07,0.457207,
39,3,10155,0.00196156,0.058852,5214,1.21057e-06,0.748941,
39,4,8576,0.00215837,0.0587092,4408,1.68059e-06,0.86228,
39,5,8324,0.00212437,0.0656388,4277,2.12525e-06,0.873132,
39,6,8222,0.00212634,0.0670232,4227,2.24727e-06,0.875649,
39,7,8167,0.00221031,0.0665175,4198,2.28467e-06,0.878181,
40,0,20000,0.01,0.0141421,10201,0,2.569,
40,1,22337,0.00104801,0.0505189,11388,3.45345e-06,0.521455,
40,2,8191,0.00239023,0.0785879,4226,1.45725e-06,0.941766,
40,3,4434,0.00321813,0.0817933,2308,5.38099e-06,1.62551,
40,4,3712,0.00335685,0.097491,1934,9.17997e-06,1.89342,
40,5,3546,0.00360936,0.0962716,1849,1.08909e-05,1.94283,
40,6,3491,0.00359839,0.097302,1820,1.1485e-05,1.95484,
40,7,3472,0.00389657,0.101108,1811,1.20935e-05,1.95063,
38,0,20000,0.01,0.0141421,10201,0,2.569,
38,1,60698,0.000713986,0.0430379,30719,8.55424e-07,0.244991,
38,2,32554,0.00123059,0.0325472,16539,1.61684e-07,0.281301,
38,3,19640,0.00137593,0.0424098,10009,3.70912e-07,0.398184,
38,4,16144,0.00154192,0.0462695,8237,4.56507e-07,0.473592,
38,5,15600,0.00166403,0.0514538,7957,6.10208e-07,0.479991,
38,6,15372,0.00161363,0.0519412,7843,6.35784e-07,0.483407,
38,7,15298,0.00157503,0.0536489,7806,6.54603e-07,0.484571,
31,0,20000,0.01,0.0141421,10201,0,0.531118,
31,1,91535,0.000730989,0.0316324,46148,1.19564e-07,0.0806989,
31,2,84958,0.00137546,0.0149835,42822,2.3306e-08,0.0538294,
31,3,52838,0.0010993,0.0226433,26702,2.69648e-08,0.0652894,
31,4,43811,0.00147504,0.0224021,22153,3.66707e-08,0.0754908,
31,5,42533,0.00148659,0.0244838,21503,4.77714e-08,0.0764116,
31,6,42112,0.00147985,0.0241181,21293,4.99891e-08,0.0766352,
37,0,20000,0.01,0.0141421,10201,0,2.569,
37,1,87576,0.000685635,0.0393302,44251,3.63356e-07,0.175086,
37,2,67812,0.000747899,0.0228463,34271,5.46249e-08,0.148392,
37,3,42719,0.000877601,0.0304906,21631,8.14809e-08,0.183691,
37,4,36360,0.000969124,0.0322708,18427,9.94086e-08,0.211738,
37,5,35505,0.00105798,0.0326697,17992,1.23758e-07,0.213028,
37,6,35195,0.000989304,0.0334779,17836,1.32548e-07,0.213342,
45,0,20000,0.01,0.0141421,10201,0,136.313,
45,1,13551,0.00158252,0.0486519,7099,0.000231329,259.875,
45,2,11439,0.000682442,0.12668,6166,0.00111643,126.691,
45,3,7310,0.00063902,0.231992,4031,0.000575336,151.898,
45,4,6373,0.000633229,0.226869,3478,0.000764401,162.346,
45,5,5961,0.000709195,0.204398,3244,0.000684795,169.022,
45,6,5742,0.000699708,0.202737,3127,0.000658683,172.991,
45,7,5588,0.000690708,0.243862,3047,0.000655308,176.779,
45,8,5486,0.000724906,0.221177,2995,0.000736494,178.117,
45,9,5430,0.000737897,0.220386,2965,0.00075213,179.026,
45,10,5374,0.000673871,0.216464,2936,0.00076001,180.229,
45,11,5333,0.000660614,0.217229,2915,0.000785081,180.391,
44,0,20000,0.01,0.0141421,10201,0,136.313,
44,1,56793,0.000672841,0.045198,29125,5.63135e-05,152.035,
44,2,26156,0.000594754,0.103394,13768,0.000158148,98.0223,
44,3,17278,0.000556366,0.0925231,9256,0.000387243,97.4304,
44,4,16008,0.000549971,0.0981608,8575,0.00040204,95.8878,
44,5,15755,0.000550526,0.104385,8431,0.000379874,94.5179,
44,6,15708,0.000545652,0.129525,8403,0.000350043,93.8446,
43,0,20000,0.01,0.0141421,10201,0,136.313,
43,1,99831,0.000661137,0.045362,50811,1.79302e-06,145.634,
43,2,54929,0.000593648,0.0259227,28303,0.000117365,95.9012,
43,3,32576,0.000541245,0.0380861,16999,0.000332416,95.2288,
43,4,30095,0.000551462,0.0385951,15712,0.000444936,94.685,
43,5,29853,0.000549373,0.0421743,15576,0.000445793,94.4512,
42,0,20000,0.01,0.0141421,10201,0,136.313,
42,1,117107,0.000683411,0.0393394,59484,6.53792e-07,145.414,
42,2,93881,0.000602071,0.0195853,47919,0.000104492,95.505,
42,3,46052,0.000541787,0.0239064,23825,0.000227515,94.4985,
42,4,41598,0.000551055,0.025734,21536,0.000385902,94.1633,
42,5,41275,0.000546999,0.028064,21362,0.000399871,94.3282,
48,0,20000,0.01,0.0141421,10201,0,125.889,
48,1,67609,0.000675885,0.0470772,34718,2.14482e-05,19.6916,
48,2,34880,0.000597489,0.0737488,18188,1.42893e-05,13.2755,
48,3,24916,0.000563736,0.0726797,13049,1.92727e-05,13.9561,
48,4,23073,0.000568847,0.0757647,12060,1.71634e-05,14.0157,
48,5,22664,0.000571715,0.0926575,11830,1.66063e-05,13.9595,
48,6,22565,0.000553768,0.0799296,11775,1.57972e-05,13.8758,
46,0,20000,0.01,0.0141421,10201,0,125.889,
46,1,98281,0.000672012,0.0444534,50242,2.64055e-06,19.4052,
46,2,65103,0.000604278,0.0293864,33416,1.5393e-05,12.3173,
46,3,46323,0.000556231,0.0374995,23866,2.68816e-05,12.2329,
46,4,43919,0.000550713,0.0385374,22604,3.09674e-05,12.157,
46,5,43605,0.000568006,0.040434,22426,3.11762e-05,12.0808,
47,0,20000,0.01,0.0141421,10201,0,125.889,
47,1,80304,0.000671385,0.0506815,41166,9.36161e-06,19.4769,
47,2,43300,0.000588906,0.0489611,22454,1.5354e-05,12.7837,
47,3,31669,0.000554623,0.0563963,16483,2.47146e-05,12.9948,
47,4,29883,0.00055308,0.0640926,15528,2.5857e-05,12.9145,
47,5,29496,0.000547809,0.0667074,15311,2.5335e-05,12.8396,
47,6,29457,0.000552236,0.0695859,15288,2.4854e-05,12.7628,
49,0,20000,0.01,0.0141421,10201,0,125.889,
49,1,55931,0.000676017,0.0515684,28786,3.86917e-05,20.0716,
49,2,28693,0.000589197,0.0810145,15043,1.45269e-05,14.0807,
49,3,19757,0.000591616,0.0837603,10404,1.64158e-05,15.8476,
49,4,17830,0.000584464,0.0973464,9355,1.35184e-05,16.3246,
49,5,17334,0.00058123,0.104732,9071,1.28627e-05,16.3336,
49,6,17158,0.000568827,0.0951282,8973,1.24959e-05,16.3339,
49,7,17083,0.000591994,0.108551,8932,1.24032e-05,16.3389,
53,0,20000,0.01,0.0141421,10201,0,0.107292,
53,1,10733,0.00415533,0.0375875,5496,2.91178e-07,0.153523,
53,2,7133,0.00697129,0.0423471,3661,4.76478e-07,0.205269,
53,3,6616,0.00685626,0.0501966,3397,8.08201e-07,0.21518,
53,4,6598,0.00689832,0.047393,3387,8.82853e-07,0.213106,
53,5,6536,0.00700214,0.0486761,3356,8.84812e-07,0.214113,
52,0,20000,0.01,0.0141421,10201,0,0.107292,
52,1,15506,0.00327543,0.0390308,7902,1.86354e-07,0.109316,
52,2,11371,0.00577242,0.038521,5804,2.79725e-07,0.132747,
52,3,10354,0.00548146,0.0412288,5289,3.18974e-07,0.140154,
